,Date,Price,Sum_Bull,Sum_Bear
604,2021-06-15,4.74,36,39
605,2021-06-16,4.66,41,39
606,2021-06-17,4.63,30,26
607,2021-06-18,4.7,18,35
610,2021-06-21,4.67,12,20
611,2021-06-22,4.65,32,37
612,2021-06-23,4.45,42,38
613,2021-06-24,4.35,55,59
614,2021-06-25,4.35,36,36
617,2021-06-28,4.23,28,38
618,2021-06-29,4.3,18,23
619,2021-06-30,4.17,27,26
620,2021-07-01,4.07,25,40
621,2021-07-02,4.01,52,48
624,2021-07-05,3.95,75,43
625,2021-07-06,3.94,41,35
626,2021-07-07,3.86,26,25
627,2021-07-08,3.72,56,42
628,2021-07-09,3.82,20,32
631,2021-07-12,3.71,12,14
632,2021-07-13,3.77,10,10
633,2021-07-14,3.76,16,15
634,2021-07-15,4.04,28,30
635,2021-07-16,3.97,31,35
638,2021-07-19,3.93,10,23
640,2021-07-21,4.16,13,4
