"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 24, 2020","6.80","6.89","6.97","6.80","89.73M","-7.48%"
"Nov 23, 2020","7.35","7.29","7.44","7.26","48.29M","0.82%"
"Nov 20, 2020","7.29","7.00","7.35","6.94","70.06M","5.04%"
"Nov 19, 2020","6.94","6.90","6.97","6.84","46.11M","-1.00%"
"Nov 18, 2020","7.01","7.09","7.12","6.83","58.66M","0.14%"
"Nov 17, 2020","7.00","6.60","7.15","6.15","180.21M","-2.78%"
"Nov 16, 2020","7.20","7.73","7.74","7.20","79.76M","-7.46%"
"Nov 13, 2020","7.78","7.81","7.83","7.68","38.34M","1.04%"
"Nov 12, 2020","7.70","7.80","7.84","7.63","50.64M","-2.04%"
"Nov 11, 2020","7.86","7.79","7.96","7.62","61.14M","0.77%"
"Nov 10, 2020","7.80","7.64","8.05","7.52","139.72M","-8.02%"
"Nov 09, 2020","8.48","8.51","8.69","8.42","29.13M","-0.24%"
"Nov 06, 2020","8.50","8.35","8.52","8.25","39.00M","2.41%"
"Nov 05, 2020","8.30","7.96","8.31","7.90","50.89M","2.47%"
"Nov 04, 2020","8.10","8.28","8.36","8.01","43.86M","-2.64%"
"Nov 03, 2020","8.32","8.41","8.52","8.28","21.80M","-0.83%"
"Nov 02, 2020","8.39","8.54","8.56","8.10","34.89M","-2.10%"
"Oct 30, 2020","8.57","8.80","8.83","8.53","26.13M","-2.39%"
"Oct 28, 2020","8.78","9.00","9.00","8.72","20.10M","-1.46%"
"Oct 27, 2020","8.91","8.70","8.99","8.65","32.90M","2.41%"
"Oct 26, 2020","8.70","8.75","8.86","8.41","44.02M","0.00%"
"Oct 23, 2020","8.70","8.93","8.96","8.63","33.60M","-2.25%"
"Oct 22, 2020","8.90","8.80","9.08","8.69","42.42M","0.23%"
"Oct 21, 2020","8.88","9.48","9.49","8.59","80.94M","-6.33%"
"Oct 20, 2020","9.48","9.59","9.65","9.44","33.98M","-1.25%"
"Oct 19, 2020","9.60","9.38","9.72","9.35","52.64M","2.78%"
"Oct 16, 2020","9.34","9.40","9.46","9.31","36.96M","0.00%"
"Oct 15, 2020","9.34","9.50","9.60","9.23","51.35M","-1.48%"
"Oct 14, 2020","9.48","9.11","9.53","9.08","83.49M","4.29%"
"Oct 13, 2020","9.09","8.97","9.10","8.95","49.18M","1.34%"
"Oct 12, 2020","8.97","8.81","8.98","8.76","39.59M","1.82%"
"Oct 09, 2020","8.81","8.76","8.84","8.74","24.90M","0.11%"
"Oct 08, 2020","8.80","8.83","8.88","8.67","21.82M","0.00%"
"Oct 07, 2020","8.80","8.60","8.88","8.52","41.39M","1.85%"
"Oct 06, 2020","8.64","8.96","9.00","8.52","48.35M","-3.14%"
"Oct 05, 2020","8.92","8.77","9.05","8.72","78.60M","1.83%"
"Oct 02, 2020","8.76","8.43","8.78","8.33","63.44M","3.91%"
"Oct 01, 2020","8.43","8.29","8.47","8.20","23.09M","1.57%"
